"","lambda","lik"
"1",-0.101010101010101,-1377226.27362484
"2",-0.0606060606060606,-1377229.86261785
"3",-0.141414141414141,-1377268.43617147
"4",-0.0202020202020201,-1377274.43031753
"5",0.0202020202020203,-1377355.57412589
"6",-0.181818181818182,-1377362.3946089
"7",0.060606060606061,-1377469.52662163
"8",-0.222222222222222,-1377514.564241
"9",0.101010101010101,-1377613.15555749
"10",-0.262626262626263,-1377732.75835533
"11",0.141414141414141,-1377783.52152807
"12",0.181818181818182,-1377978.29830926
"13",-0.303030303030303,-1378026.01742874
"14",0.222222222222222,-1378195.31965819
"15",-0.343434343434343,-1378404.23318086
"16",0.262626262626263,-1378432.74592171
"17",0.303030303030303,-1378689.02410335
"18",-0.383838383838384,-1378879.88642923
"19",0.343434343434343,-1378962.70345197
"20",0.383838383838384,-1379252.6290813
"21",-0.424242424242424,-1379466.17332817
"22",0.424242424242424,-1379557.71642287
"23",0.464646464646465,-1379877.04995528
"24",-0.464646464646465,-1380179.26549091
"25",0.505050505050505,-1380209.84436194
"26",0.545454545454546,-1380555.36988468
"27",0.585858585858586,-1380913.04101177
"28",-0.505050505050505,-1381037.62753063
"29",0.626262626262626,-1381282.30411054
"30",0.666666666666667,-1381662.69424762
"31",0.707070707070707,-1382053.80641393
"32",-0.545454545454545,-1382061.5851235
"33",0.747474747474748,-1382455.26655405
"34",0.787878787878788,-1382866.77203326
"35",-0.585858585858586,-1383276.4428318
"36",0.828282828282829,-1383288.03526686
"37",0.868686868686869,-1383718.81600851
"38",0.909090909090909,-1384158.90204886
"39",0.94949494949495,-1384608.09883632
"40",-0.626262626262626,-1384708.82519596
"41",0.98989898989899,-1385066.24781218
"42",1.03030303030303,-1385533.19786441
"43",1.07070707070707,-1386008.8236048
"44",-0.666666666666667,-1386391.1322896
"45",1.11111111111111,-1386493.01299656
"46",1.15151515151515,-1386985.66429151
"47",1.19191919191919,-1387486.69420498
"48",1.23232323232323,-1387996.02332589
"49",-0.707070707070707,-1388359.67112596
"50",1.27272727272727,-1388513.58646162
"51",1.31313131313131,-1389039.32488747
"52",1.35353535353535,-1389573.18597883
"53",1.39393939393939,-1390115.12673168
"54",-0.747474747474747,-1390654.2731446
"55",1.43434343434343,-1390665.10625804
"56",1.47474747474747,-1391223.09164048
"57",1.51515151515152,-1391789.05314256
"58",1.55555555555556,-1392362.96468054
"59",1.5959595959596,-1392944.80522948
"60",-0.787878787878788,-1393323.03262039
"61",1.63636363636364,-1393534.5549774
"62",1.67676767676768,-1394132.19865752
"63",1.71717171717172,-1394737.72259458
"64",1.75757575757576,-1395351.1151989
"65",1.7979797979798,-1395972.36741643
"66",-0.828282828282828,-1396416.11056638
"67",1.83838383838384,-1396601.4710355
"68",1.87878787878788,-1397238.42104792
"69",1.91919191919192,-1397883.2133584
"70",1.95959595959596,-1398535.84342476
"71",2,-1399196.30622771
"72",-0.868686868686869,-1399992.50564294
"73",-0.909090909090909,-1404116.45817462
"74",-0.949494949494949,-1408856.6710585
"75",-0.98989898989899,-1414290.99309926
"76",-1.03030303030303,-1420499.10583985
"77",-1.07070707070707,-1427566.70948787
"78",-1.11111111111111,-1435582.59769826
"79",-1.15151515151515,-1444635.06122615
"80",-1.19191919191919,-1454811.43218289
"81",-1.23232323232323,-1466197.33626289
"82",-1.27272727272727,-1478866.53585731
"83",-1.31313131313131,-1492887.26860477
"84",-1.35353535353535,-1508314.51066272
"85",-1.39393939393939,-1525182.25944531
"86",-1.43434343434343,-1543518.01132071
"87",-1.47474747474747,-1563319.97617726
"88",-1.51515151515152,-1584574.61305415
"89",-1.55555555555556,-1607252.1042584
"90",-1.5959595959596,-1631300.08235912
"91",-1.63636363636364,-1656661.48830354
"92",-1.67676767676768,-1683262.87107512
"93",-1.71717171717172,-1711025.1569127
"94",-1.75757575757576,-1739865.69296585
"95",-1.7979797979798,-1769697.47751442
"96",-1.83838383838384,-1800434.7432601
"97",-1.87878787878788,-1831998.68228452
"98",-1.91919191919192,-1864312.46984597
"99",-1.95959595959596,-1897298.31039181
"100",-2,-1930877.37188936
